9.5,1.1,2.5,0.8,-0.7
8,0.9,1,0.4,-0.666666667
9.5,1.3,1.5,1,-0.7
9.5,0.9,2.5,0.6,-0.7
9,1.3,1.5,0.2,-0.7
9.5,0.7,1,0.4,-0.766666667
9,0.7,1,0.2,-0.766666667
8,0.9,1,1.2,-0.633333333
8,1.1,2,0.6,-0.6
9,0.9,2.5,0.8,-0.666666667
9.5,0.3,1.5,1,-0.766666667
9.5,0.5,0.5,0.6,-0.8
8.5,0.7,2,0.6,-0.666666667
8,1.1,2,0.4,-0.633333333
9.5,0.5,1.5,1.2,-0.766666667
9.5,0.9,1,0.8,-0.766666667
9.5,0.9,2.5,0.8,-0.7
8.5,0.9,2.5,0.6,-0.666666667
9,1.1,0.5,0.2,-0.733333333
8.5,1.1,0.5,0.2,-0.7
8,1.1,1,0.4,-0.666666667
8,0.7,1.5,0.6,-0.666666667
8.5,0.9,1.5,1.2,-0.633333333
8,1.1,0.5,1,-0.633333333
8,0.9,1,1,-0.633333333
8.5,0.5,2,0.4,-0.7
8.5,1.3,2.5,1.2,-0.566666667
8,0.3,2,0.4,-0.7
9.5,0.5,2.5,0.6,-0.733333333
8.5,0.7,2,0.4,-0.7
9,0.3,2,0.4,-0.766666667
8,1.3,1,1,-0.6
8,0.7,1,1,-0.666666667
9.5,0.9,2.5,0.2,-0.733333333
8.5,1.3,2.5,0.8,-0.6
8,0.7,0.5,1,-0.666666667
9,1.3,1,0.2,-0.7
9,0.5,0.5,1,-0.733333333
8.5,0.3,1,1,-0.733333333
8.5,0.5,1.5,1.2,-0.666666667
9,1.3,1.5,0.8,-0.666666667
8.5,0.5,1.5,0.4,-0.733333333
8.5,0.3,0.5,1.2,-0.733333333
8.5,1.1,2,0.8,-0.633333333
9,0.3,0.5,0.4,-0.766666667
9,1.3,0.5,1.2,-0.666666667
8,0.7,2.5,0.4,-0.666666667
8,1.3,2,1,-0.566666667
8,1.1,2.5,0.4,-0.633333333
8.5,0.9,1.5,0.6,-0.666666667
8.5,0.5,2.5,0.6,-0.7
8,0.5,1.5,1.2,-0.633333333
9.5,0.5,1,0.8,-0.766666667
8,0.7,1,0.6,-0.666666667
9,0.7,2,1.2,-0.666666667
9.5,0.3,0.5,1.2,-0.8
8,0.7,2,0.4,-0.666666667
