9.5,1.1,2.5,0.8,31,2.38303741844322
8,0.7,1,0.4,31,2.0165723219892
8,1.1,1,0.2,11,2.01288159895425
8,1.3,2,0.4,13,2.05022719493721
9.5,0.5,1,0.8,22,2.36345982228867
9.5,0.3,2,1.2,21,2.34831309653143
9.5,0.9,2.5,0.6,30,2.38742414142766
9.5,0.3,2,0.2,22,2.50989264843838
8.5,1.3,0.5,0.8,12,1.99464867399786
8,0.5,0.5,1,29,2.35354498544936
8,0.3,1,0.6,27,2.47380662987054
8,0.9,1.5,1,12,2.13293655390249
9,1.1,2.5,0.6,11,2.05466065279824
8,1.1,2,1,13,2.14657487951374
9.5,0.3,2,1,22,2.33289298492296
9,0.5,2.5,0.4,28,2.41580404324655
8,0.5,1,0.2,30,2.64022393362186
9,0.5,2,0.6,26,2.4478665517845
9,0.9,2.5,0.6,11,2.02585156527233
9,1.1,1,0.8,30,2.38824442654642
9,0.7,1.5,0.4,28,2.33398549459546
9,0.9,1,0.2,30,2.27644497083565
8,1.3,1,0.4,12,2.09814955942749
9,0.7,1,0.4,26,2.33580459613376
9,1.3,2.5,0.8,12,2.11631965600601
9,0.9,0.5,1,28,2.34677903009116
9,0.5,2.5,1.2,27,2.40072646249227
8.5,0.3,2.5,0.2,29,2.3705814888082
9.5,0.3,1.5,1,22,2.40179602410798
9.5,1.3,2.5,0.4,10,1.96141294385023
8,0.7,1,1,31,2.1384716002299
8,0.5,0.5,0.6,29,2.29661884881717
9,1.3,0.5,1,10,1.93525080161831
8,0.9,0.5,0.2,10,1.98338410919784
8,0.5,2.5,0.4,11,1.9789283736546
9.5,1.1,1.5,1.2,29,2.3303306846946
9.5,0.3,0.5,0.2,22,2.56708060836537
9.5,0.5,2,0.2,24,2.54653231592716
8.5,0.3,0.5,1,25,2.50519772325473
8,0.3,0.5,0.2,28,2.36163543045728
8,1.1,1.5,0.6,12,2.14006019578339
8.5,0.5,1,1,27,2.43139460313475
9.5,1.1,2,1.2,30,2.32826829440791
8,0.7,2.5,1.2,13,2.24764541602109
8,0.5,1.5,0.2,31,2.50370850288278
8,0.5,0.5,0.8,29,2.28935976255239
9.5,0.5,1,1,22,2.40012142286195
8.5,1.3,1,1.2,12,2.11791440318733
8.5,0.7,1,0.2,29,2.41854909045553
8.5,0.9,2.5,0.4,11,2.05428837008759
8.5,0.3,2,1.2,26,2.3817657839512
8.5,1.3,2.5,1.2,14,2.11839682542926
9.5,0.7,2,1,26,2.35560000165512
9.5,1.3,1.5,0.4,30,2.44851838421907
9,1.3,2,0.8,12,2.0659167533903
8,1.1,1.5,1.2,13,2.1892973300946
